Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,Column1,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,INCOME,EMAIL
21272,1976-09-15,,999-44-6955,S99924002,X15839X,Mrs.,Cathryn,Frederica,Stokes,0,,M,white,nonhispanic,F,Big Flats  New York  US,"Branch-Davis Senior Center
448 Michelle Square",New York,New York,New York County,36081,11378,4908,dkYTLtnsod@gmail.com
21273,2004-01-29,,119-26-3833,S99924002,X15839X,Mrs.,Cathryn,Frederica,Stokes,0,,M,white,nonhispanic,F,Big Flats  New York  US,"Flynn LLC Senior Center
24232 Patrick Tunnel Apt. 974",New York,New York,New York County,36081,11378,4908,dkYTLtnsod@gmail.com
21274,1961-07-04,,999-12-1465,S99951180,X24429230X,Mrs.,Misty,Chun,Schmidt,0,,M,white,nonhispanic,F,New York  New York  US,"Butler, Delgado and Howard Nursing Home
4913 Michelle Mission",New York,New York,New York County,36005,10466,753465,PsnkkYbBJy@yahoo.com
21275,2004-01-29,,119-26-3833,S99951180,X24429230X,Mrs.,Misty,Chun,Schmidt,0,,M,white,nonhispanic,F,New York  New York  US,"Kelley-Tanner Prison
50774 April Land Apt. 940",New York,New York,New York County,36005,10466,753465,PsnkkYbBJy@yahoo.com
21276,2004-01-29,,119-26-3833,S99957893,X67916455X,Mr.,Scot,0,Bosco,0,,D,asian,nonhispanic,M,Carmel  New York  US,"Colon Group Senior Center
08039 White Dale Apt. 759",New York,New York,New York County,36047,11237,86396,LhHGZGcUAf@yahoo.com
21277,1960-09-17,,999-43-9684,S99957893,X67916455X,Mr.,Scot,0,Bosco,0,,D,asian,nonhispanic,M,Carmel  New York  US,"Gates Group College Dorm
24218 Cynthia Crescent",New York,New York,New York County,36047,11237,86396,LhHGZGcUAf@yahoo.com
21278,2004-01-29,,119-26-3833,S99951152,X36697039X,Mr.,Harrison,Jamal,Veum,0,,M,white,nonhispanic,M,New York  New York  US,"Hernandez, White and Gomez Nursing Home
3206 Kelly Grove Suite 680",New York,New York,New York County,36047,11225,184147,VbNfCOzsWw@gmail.com
21279,2028-04-24,,999-25-3272,S99951152,X36697039X,Mr.,Harrison,Jamal,Veum,0,,M,white,nonhispanic,M,New York  New York  US,"Cook-Morris Nursing Home
0225 Wayne Stream Suite 566",New York,New York,New York County,36047,11225,184147,VbNfCOzsWw@gmail.com
21280,1985-06-15,,999-88-7691,S99911270,X36730967X,Mrs.,Mika,Kacey,Johnston,0,,M,black,nonhispanic,F,Cheektowaga  New York  US,"Weiss LLC Senior Center
71868 Wilson Glen Apt. 282",New York,New York,New York County,36047,11235,61863,SZCTADVkXA@hotmail.com
21281,2004-01-29,,119-26-3833,S99911270,X36730967X,Mrs.,Mika,Kacey,Johnston,0,,M,black,nonhispanic,F,Cheektowaga  New York  US,"Freeman Group Senior Center
23571 Sean Pine Apt. 720",New York,New York,New York County,36047,11235,61863,SZCTADVkXA@hotmail.com
